"","GSM461176_untreated_single","GSM461177_untreated_paired","GSM461178_untreated_paired","GSM461179_treated_single","GSM461180_treated_paired","GSM461181_treated_paired","GSM461182_untreated_single"
"FBgn0267431",2.19985301838204,0,0,8.51797974716137,2.24296346389554,0,0
"FBgn0010247",505.232909888409,400.957491682395,324.088845192834,981.11639451395,439.620838923526,293.520254490912,826.355699191212
"FBgn0086378",521.365165356543,493.306301720031,590.182844403792,1061.65002121438,586.534945808684,456.382590054835,1036.3212631759
"FBgn0263977",1392.50696063583,904.784543913042,956.346381779555,1897.1863982314,1065.40764535038,828.113570664015,1296.62944776511
"FBgn0069923",20.531961504899,5.84486139478709,12.5086922706006,41.8155369406103,20.1866711750599,13.8018928444003,28.2409822903386
"FBgn0039955",896.073462820951,666.314199005728,546.970998378081,1067.07055378076,519.246041891818,428.778804366034,1069.47372064717
"FBgn0259821",189.920643920316,176.51481412257,142.144230347734,432.868243514837,348.780818635757,304.561768766432,201.370482418067
"FBgn0027341",17.5988241470563,15.1966396264464,14.7829999561644,32.5231953982525,13.4577807833732,15.6421452236536,11.050819157089
"FBgn0085812",2.93313735784272,4.67588911582967,0,1.54872359039298,1.12148173194777,1.84025237925337,0
"FBgn0058198",57.9294628173937,56.1106693899561,48.8976152396205,54.9796874589506,40.3733423501197,30.3641642576806,63.8491773520699
"FBgn0037213",600.559874018297,725.931785232557,586.771382875447,847.151803944958,893.820940362373,1037.9023418989,755.139309067749
"FBgn0053294",118.058778653169,74.8142258532748,70.5035382524761,145.58001749694,34.7659336903809,71.7698427908813,90.8622908471764
"FBgn0000500",3.6664216973034,2.33794455791484,6.82292305669124,5.42053256637541,8.97185385558216,9.20126189626684,1.22786879523211
"FBgn0037215",7071.7941697588,7460.38108430624,8043.08912999619,6493.02365272255,6726.64742822273,6565.10036298639,8006.93241370861
"FBgn0037217",61.5958845146971,107.545449664082,83.0122305230768,53.4309638685577,71.7748308446573,87.4119880145349,62.6213085568378
"FBgn0037218",3136.99040421279,3253.2498523385,3008.90906800084,2996.00578561521,3164.82144755661,3179.95611134982,3395.05721881679
"FBgn0051516",24.9316675416631,21.0415010212335,25.0173845412012,18.5846830847157,26.9155615667465,22.0830285510404,28.2409822903386
"FBgn0261436",977.468024501086,1179.49302946804,1230.40045788999,956.336817067662,1037.37060205169,1202.60492984208,1062.10650787578
"FBgn0037220",2072.26154331588,2302.87538954611,2394.84599289863,1880.92480053227,2268.75754373034,2350.92241449618,2254.36710804616
"FBgn0015331",1228.9845529361,1256.64519987922,1249.73207321728,1118.17843226373,1260.54546670929,1360.86663445786,1242.6032207749
"FBgn0010225",21653.8865442739,22105.2657950848,23902.973775275,15409.7997244101,15854.3872445456,15345.8645905938,20155.4662737351
"FBgn0037222",599.093305339376,566.951555294348,567.439767548155,392.601430164619,282.613396450838,357.008961575153,457.995060621578
"FBgn0085334",145.190299213215,77.1521704111896,131.909845762697,52.6566020733612,38.1303788862242,35.8849213954407,44.2032766283561
"FBgn0037223",65.2623062120005,52.6037525530838,46.6233075540568,9.29234154235785,13.4577807833732,16.5622714132803,55.2540957854451
"FBgn0037224",5.13299037622476,4.67588911582967,7.96007689947311,1.54872359039298,3.36444519584331,0,8.59508156662479
"FBgn0037225",126.858190726698,92.3488100376361,118.263999649315,139.385123135368,114.391136658673,110.415142755202,90.8622908471764
"FBgn0250821",82.8611303590568,50.265807995169,92.1094612653317,82.0823502908277,82.989648164135,71.7698427908813,73.6721277139268
"FBgn0037227",21.2652458443597,0,4.54861537112749,34.0719189886455,10.0933355875299,4.60063094813342,4.91147518092845
"FBgn0041621",19.0653928259777,10.5207505106168,19.3316153272918,19.3590448799122,7.85037212363439,6.44088332738678,8.59508156662479
"FBgn0037228",17971.3325915023,14805.0339129957,17368.8877946503,21475.3756661842,18497.7196867465,18326.1533187947,17476.2565625387
"FBgn0037229",63.7957375330792,43.2519743214245,63.6806151957849,73.5643705436663,44.8592692779108,46.0063094813342,52.7983581949809
"FBgn0041605",86.5275520563602,66.6314199005729,52.3090767679662,126.995334412224,90.8400202877694,78.2107261182681,34.3803262664992
"FBgn0037230",19.7986771654384,21.0415010212335,15.9201537989462,21.6821302655017,16.8222259792166,19.3226499821604,11.050819157089
"FBgn0027930",1728.35118810882,1682.15110941973,1804.66314849483,1798.06808844624,1963.71451264055,1997.59395767953,1797.59991621981
"FBgn0037231",838.144000003557,763.338898159194,818.750766802949,679.11529438732,674.01052090061,763.704737390147,577.098333759093
"FBgn0037232",360.042610675194,364.719351034715,390.043768074183,377.11419426069,284.856359914734,327.564923507099,440.804897488329
"FBgn0261086",24.9316675416631,28.055334694978,25.0173845412012,26.3283010366806,28.0370432986943,20.242776171787,34.3803262664992
"FBgn0037234",962.802337711873,881.405098333894,782.361843833929,1071.71672455194,896.063903826269,875.960132524603,888.97700774805
"FBgn0027866",3083.46064743216,2911.90994688293,2842.88460695468,2840.35906478072,2628.75317968557,2534.02752623189,2719.72938143913
"FBgn0037236",1455.56941382945,1419.13234665431,1488.53438020147,1599.05710708075,1368.20771297628,1420.6748367836,1666.21795512998
"FBgn0037235",1228.9845529361,1022.85074408774,1175.81707343646,1329.57920235237,1050.82838283506,1180.52190129103,1369.07370668381
"FBgn0037238",40.3306386703374,51.4347802741264,28.4288460695468,26.3283010366806,22.4296346389554,22.0830285510404,27.0131134951065
"FBgn0266227",13.1991181102922,2.33794455791484,2.27430768556375,39.4924515550209,2.24296346389554,0,3.68360638569634
"FBgn0037239",1366.10872441525,1392.24598423829,1514.68891858546,697.699977472035,815.317219126029,765.544989769401,1356.79501873148
"FBgn0037240",2457.23582153274,2251.44060927199,1986.60776333993,3300.32997112743,2942.76806463095,2973.84784487344,1882.32286309083
"FBgn0003882",1439.43715836131,1388.73906740141,1472.61422640253,1323.3843079908,1394.00179281108,1414.23395345621,1478.35402945946
"FBgn0037241",833.011009627333,791.394232854172,907.448766539935,844.828718559368,909.521684609642,952.330606263617,960.193397871512
"FBgn0086608",42.5304916887194,46.7588911582967,52.3090767679662,58.0771346397366,57.1955683293363,49.6868142398409,42.975407833124
"FBgn0267661",21.2652458443597,29.2243069739355,17.0573076417281,24.0052156510911,13.4577807833732,12.8817666547736,23.3295071094101
"FBgn0037242",179.654663167867,121.573117011572,122.812615020442,146.354379292136,118.877063586464,111.335268944829,121.559010727979
"FBgn0086605",920.271846023153,958.557268745083,827.847997545204,868.059572415263,836.625372033037,785.787765941188,855.824550276783
"FBgn0037244",421.638495189891,395.112630287607,466.233075540568,380.211641441475,412.70527735678,409.456154383874,400.285227245669
"FBgn0266697",10.2659807524495,7.01383367374451,6.82292305669124,7.74361795196488,0,11.9616404651469,4.91147518092845
"FBgn0263594",16091.1915451252,16076.8757525014,16118.0185675903,17873.0445949301,16528.3977654462,16129.8121041558,15288.194369435
"FBgn0052944",41.7972073492588,30.3932792528929,29.5659999123287,37.9437279646279,47.1022327418064,25.7635333095471,55.2540957854451
"FBgn0051528",2.19985301838204,4.67588911582967,0,6.1948943615719,4.48592692779108,14.7220190340269,0
"FBgn0037248",3173.65462118582,2700.32596439164,2532.44160787523,2608.05052622177,2244.08494562749,2105.24872186585,2980.03756602834
"FBgn0051525",46.1969133860228,56.1106693899561,39.8003844973656,67.3694761820944,49.3451962057019,40.4855523435741,65.077046147302
"FBgn0037249",11617.4237900756,15631.4973142186,15076.3856476021,11289.4206121696,14962.8092676472,14102.7741084082,13676.0026412953
"FBgn0037250",343.177070867598,294.581014297269,362.752075847418,340.719189886455,371.210453274712,323.884418748593,327.840968326974
"FBgn0037251",5.86627471568544,5.84486139478709,4.54861537112749,9.29234154235785,5.60740865973885,6.44088332738678,3.68360638569634
"FBgn0037252",2675.02127035256,2716.69157629704,2465.3495311511,2350.96241021654,2715.10727304555,2719.89301653648,2609.22118986824
"FBgn0051522",1074.2615573099,1034.54046687732,888.117151212643,1116.62970867334,1115.87432328803,1175.9212703429,1098.94257173274
"FBgn0263620",134.924318460765,106.376477385125,115.989691963751,126.220972617028,155.88596074074,123.296909409976,103.140978799497
"FBgn0051523",9198.31875419477,7758.46901544039,7214.1039786082,5594.76397029462,4520.69286148146,4189.33454137029,10077.11920247
